,source,text,created_at,retweet_count,favorite_count,is_retweet
0,Twitter for iPhone,"RT @WhiteHouse: ""America is engaged in a historic battle to safeguard the lives of our citizens."" https://t.co/DgiyktSc9O",4/3/2020 23:51,12244.0,0.0,True
1,Twitter for iPhone,RT @WhiteHouse: Our hearts go out to the communities hardest hit by the Coronavirus—and we salute the great medical professionals on the fr…,4/3/2020 23:50,7254.0,0.0,True
2,Twitter for iPhone,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/hNZ4Y7sEUl,4/3/2020 21:24,6807.0,0.0,True
3,Twitter for iPhone,Great job being done by @BankofAmerica and many community banks throughout the country. Small businesses appreciate your work!,4/3/2020 18:49,16337.0,96640.0,False
4,Twitter for iPhone,The Paycheck Protection Program is now available! #CARESActSmall Business Guidance &amp; Loan Resources: https://t.co/lfe1wbsSNA https://t.co/eosegomf38,4/3/2020 17:51,13350.0,45408.0,False
5,Twitter for iPhone,Thank you @DeptofDefense @USACEHQ @USNationalGuard @FEMA and @CDCgov! https://t.co/p9j7kZsD7b https://t.co/qmUE7F2E5D,4/3/2020 17:33,9359.0,34347.0,False
6,Twitter for iPhone,Thank you @USNationalGuard keep up the great work! https://t.co/tzQb3eGDat,4/3/2020 17:29,12122.0,51941.0,False
7,Twitter for iPhone,GREAT news this week regarding the Keystone XL Pipeline – moving forward with fantastic paying CONSTRUCTION jobs for hardworking Americans. Promises Made Promises Kept! #MAGA,4/3/2020 17:14,26180.0,135667.0,False
8,Twitter for iPhone,Highly respected Justice Daniel Kelly is running for the Supreme Court in the Great State of Wisconsin. Justice Kelly has been doing a terrific job upholding the Rule of Law and defending your #2A. Tough on Crime Loves our Military and our Vets. He has my Complete Endorsement!,4/3/2020 17:12,21225.0,95126.0,False
9,Twitter for iPhone,RT @SBAgov: 🚨STAY VIGILANT 🚨There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…,4/3/2020 16:45,6232.0,0.0,True
10,Twitter for iPhone,RT @SBAgov: #COVID19 UPDATE: Small businesses can now apply for the #PaycheckProtectionProgram. The program is designed to keep small busin…,4/3/2020 16:45,5770.0,0.0,True
11,Twitter for iPhone,We hit 3M hard today after seeing what they were doing with their Masks. “P Act” all the way. Big surprise to many in government as to what they were doing - will have a big price to pay!,4/3/2020 0:52,44052.0,202651.0,False
12,Twitter for iPhone,https://t.co/C4YLj4hKZn,4/3/2020 0:15,12657.0,52604.0,False
13,Twitter for iPhone,"RT @WhiteHouse: .@SBAJovita: ""The President has put the Nation's 30 million small businesses front and center in the response effort."" http…",4/3/2020 0:15,8662.0,0.0,True
14,Twitter for iPhone,https://t.co/GElcwjwBY2,4/3/2020 0:13,12702.0,56666.0,False
15,Twitter for iPhone,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/L80j4W1c8O,4/2/2020 21:23,8009.0,0.0,True
16,Twitter for iPhone,30 DAYS TO SLOW THE SPREAD https://t.co/GIzwKSt5mq,4/2/2020 16:48,21944.0,87563.0,False
17,Twitter for iPhone,.....Could be as high as 15 Million Barrels. Good (GREAT) news for everyone!,4/2/2020 14:54,17643.0,97724.0,False
18,Twitter for iPhone,Just spoke to my friend MBS (Crown Prince) of Saudi Arabia who spoke with President Putin of Russia &amp; I expect &amp; hope that they will be cutting back approximately 10 Million Barrels and maybe substantially more which if it happens will be GREAT for the oil &amp; gas industry!,4/2/2020 14:32,39791.0,161726.0,False
19,Twitter for iPhone,“The States have to get the money to the people who need it.” @MariaBartiromo  And FAST!,4/2/2020 14:12,19059.0,91141.0,False
20,Twitter for iPhone,RT @parscale: 💯 Great idea!,4/2/2020 13:28,8274.0,0.0,True
21,Twitter for iPhone,RT @ericbolling: Mr. President With total respect and recognizing you are doing more than any President has .. Please have @stevenmnuchin1…,4/2/2020 13:27,6778.0,0.0,True
22,Twitter for iPhone,RT @DonaldJTrumpJr: Great to hear! CA’s Gov Newsom about @realDonaldTrump“Let me just be candid with you. I’d be lying to you to say that…,4/2/2020 13:26,20893.0,0.0,True
23,Twitter for iPhone,RT @GOPChairwoman: .@realDonaldTrump doesn’t care if you’re a Democrat or a Republican. He has shown he is willing to work with everyone…,4/2/2020 13:26,8870.0,0.0,True
24,Twitter for iPhone,RT @GOPChairwoman: “The last time America faced an economic downturn Michigan suffered mightily. @realDonaldTrump is working overtime to m…,4/2/2020 13:25,6779.0,0.0,True
25,Twitter for iPhone,RT @nickmalinowskii: A big thanks to all the workers of ups usps Amazon etc. who are still going to work every day risking their health…,4/2/2020 13:21,7272.0,0.0,True
26,Twitter for iPhone,....have been stocked up and ready long before this crisis hit. Other states are thrilled with the job we have done. Sending many Ventilators today with thousands being built. 51 large cargo planes coming in with medical supplies. Prefer sending directly to hospitals.,4/2/2020 13:17,14384.0,63572.0,False
27,Twitter for iPhone,Massive amounts of medical supplies even hospitals and medical centers are being delivered directly to states and hospitals by the Federal Government. Some have insatiable appetites &amp; are never satisfied (politics?). Remember we are a backup for them. The complainers should...,4/2/2020 13:17,23879.0,107307.0,False
28,Twitter for iPhone,Somebody please explain to Cryin’ Chuck Schumer that we do have a military man in charge of distributing goods a very talented Admiral in fact. New York has gotten far more than any other State including hospitals &amp; a hospital ship but no matter what always complaining.....,4/2/2020 12:57,33676.0,153657.0,False
29,Twitter for iPhone,...It wouldn’t matter if you got ten times what was needed it would never be good enough. Unlike other states New York unfortunately got off to a late start. You should have pushed harder. Stop complaining &amp; find out where all of these supplies are going. Cuomo working hard!,4/2/2020 12:57,18128.0,82991.0,False
30,Twitter for iPhone,RT @WhiteHouse: We are leveraging the incredible power of American manufacturers and suppliers to make procure and deliver crucial medica…,4/1/2020 23:23,11610.0,0.0,True
31,Twitter for iPhone,RT @WhiteHouse: “We're at war with COVID-19 we're at war with terrorists and we are at war with the drug cartels . . . We're the United S…,4/1/2020 23:23,20209.0,0.0,True
32,Twitter for iPhone,RT @WhiteHouse: We are fighting the Coronavirus on every possible front—and we will achieve total victory with the help of the American peo…,4/1/2020 23:22,9063.0,0.0,True
33,Twitter for iPhone,Upon information and belief Iran or its proxies are planning a sneak attack on U.S. troops and/or assets in Iraq. If this happens Iran will pay a very heavy price indeed!,4/1/2020 17:05,66884.0,329879.0,False
34,Twitter for iPhone,Congress must pass the old and very strongly proven deductibility by businesses on restaurants and entertainment. This will bring restaurants and everything related back - and stronger than ever. Move quickly they will all be saved!,4/1/2020 16:36,33472.0,150602.0,False
35,Twitter for iPhone,https://t.co/cawqG2DGXV,4/1/2020 0:32,12921.0,51619.0,False
36,Twitter for iPhone,https://t.co/nQfccoKPj2,4/1/2020 0:32,14440.0,63138.0,False
37,Twitter for iPhone,30 DAYS TO SLOW THE SPREAD#COVIDー19 https://t.co/p9j7kZsD7b https://t.co/RSUHRfT8If,3/31/2020 23:49,20180.0,72000.0,False
38,Twitter for iPhone,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/CurosT0chF,3/31/2020 21:30,9147.0,0.0,True
39,Twitter for iPhone,Great work @AtlasAirWW thank you! https://t.co/90X4lRRHdM,3/31/2020 20:56,12570.0,51243.0,False
40,Twitter for iPhone,Will be starting The White House news conference at 5:15 P.M. Eastern.,3/31/2020 20:27,13462.0,84122.0,False
41,Twitter for iPhone,My proposal to the politically correct Automobile Companies would lower the average price of a car to consumers by more than $3500 while at the same time making the cars substantially safer. Engines would run smoother. Positive impact on the environment! Foolish executives!,3/31/2020 19:52,24868.0,114039.0,False
42,Twitter for iPhone,My Administration is helping U.S. auto workers by replacing the failed Obama Emissions Rule. Impossible to satisfy its Green New Deal Standard; Lots of unnecessary and expensive penalties to car buyers!,3/31/2020 19:51,25274.0,117938.0,False
43,Twitter for iPhone,Great news! American families will now be able to buy safer more affordable and environmentally friendly cars with our new SAFE VEHICLES RULE. Get rid of those old unsafe clunkers. Build better and safer American cars and create American jobs. Buy American!,3/31/2020 19:50,33228.0,189148.0,False
44,Twitter for iPhone,RT @realDonaldTrump: With interest rates for the United States being at ZERO this is the time to do our decades long awaited Infrastructur…,3/31/2020 16:04,38562.0,0.0,True
45,Twitter for iPhone,RT @realDonaldTrump: I watched a portion of low rated (very) Morning Psycho (Joe) this Morning in order to see what Nancy Pelosi had to say…,3/31/2020 16:04,27753.0,0.0,True
46,Twitter for iPhone,RT @realDonaldTrump: https://t.co/nzWJ8ViwbZ,3/31/2020 15:15,39149.0,0.0,True
47,Twitter for iPhone,RT @CHIZMAGA: Donald Trump donated his salary to fight the virus Nancy Pelosi asked for a raise.This is all you really need to know.,3/31/2020 15:13,31668.0,0.0,True
48,Twitter for iPhone,RT @RudyGiuliani: A great comfort to the City during 9/11. It is once again a great comfort. Thank you ⁦@realDonaldTrump⁩. https://t.co/pxH…,3/31/2020 15:12,12758.0,0.0,True
49,Twitter for iPhone,RT @charliekirk11: Does anyone else find it strange:Just three days after Attorney General Barr announces the DOJ will prosecute hoarders…,3/31/2020 15:11,25144.0,0.0,True
50,Twitter for iPhone,RT @TrumpWarRoom: WATCH: Despite looking down at his notes during his TV interview Joe Biden was still unable to make any sense. https://t…,3/31/2020 15:11,10598.0,0.0,True
51,Twitter for iPhone,"RT @kayleighmcenany: BOOM: @realDonaldTrump obliterates CNN ⬇️""I want to keep the country calm.""The coronavirus ""will go away.""""We're…",3/31/2020 15:10,11662.0,0.0,True
52,Twitter for iPhone,RT @Jim_Jordan: Congratulations to @MarkMeadows.Mark is a dedicated public servant. He'll do a great job for President Trump and our co…,3/31/2020 15:02,11925.0,0.0,True
53,Twitter for iPhone,RT @Scavino45: 🚨@Ford to produce 50000 ventilators in Michigan in next 100 days; partnering with @GEHealthcare#COVID19 #COVID19Updatesht…,3/31/2020 15:00,5620.0,0.0,True
54,Twitter for iPhone,RT @realDonaldTrump: On #NationalDoctorsDay we recognize the remarkable men &amp; women who treat their fellow Americans find cures for the d…,3/31/2020 15:00,19799.0,0.0,True
55,Twitter for iPhone,RT @RepMattGaetz: Our doctors and healthcare professionals are on the front lines of the coronavirus pandemic. Our prayers are with you as…,3/31/2020 14:56,5540.0,0.0,True
56,Twitter for iPhone,Thank you Mike! https://t.co/RqiQ6YdQkf,3/31/2020 14:55,12287.0,61674.0,False
57,Twitter for iPhone,RT @dbongino: Cuomo: People are stealing medical supplies from hospitalsTrump: People are stealing medical supplies from hospitalsCuomo:…,3/31/2020 14:52,17502.0,0.0,True
58,Twitter for iPhone,With interest rates for the United States being at ZERO this is the time to do our decades long awaited Infrastructure Bill. It should be VERY BIG &amp; BOLD Two Trillion Dollars and be focused solely on jobs and rebuilding the once great infrastructure of our Country! Phase 4,3/31/2020 14:48,38556.0,175600.0,False
59,Twitter for iPhone,I watched a portion of low rated (very) Morning Psycho (Joe) this Morning in order to see what Nancy Pelosi had to say &amp; what moves she was planning to further hurt our Country. Actually other than her usual complaining that I’m a terrible person she wasn’t bad. Still praying!,3/31/2020 13:18,27734.0,156756.0,False
