Tweets,len,ID,Date,Source,Likes,RTs,Market Movement,SA
"RT @WhiteHouse: In response to the virus, the American people have launched the greatest mobilization of our society since World War II. 🇺🇸…",140,1248716255001030656,2020-04-10 20:55:29,Twitter for iPhone,0,5323,0,1
"RT @WhiteHouse: This Sunday, millions of Christians will celebrate Easter. 

""At this holy time, we pray that God will heal the sick and co…",140,1248716218867101696,2020-04-10 20:55:21,Twitter for iPhone,0,7271,-1,-1
RT @WhiteHouse: The data is clear: Our collective national effort is saving many lives. Keep up the fight! https://t.co/MMk1BpwDpg,130,1248716207311773702,2020-04-10 20:55:18,Twitter for iPhone,0,4199,1,1
RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/OtJWAa9yHo,88,1248670360507121665,2020-04-10 17:53:07,Twitter for iPhone,0,6191,-1,1
https://t.co/HGD0GHUOjt,23,1248653185969016833,2020-04-10 16:44:53,Twitter for iPhone,67151,18949,-1,0
"Nobody wants to say that if Elizabeth Warren gets out of the race before Super Tuesday, Crazy Bernie Sanders wins v… https://t.co/NRcJmZAXLG",140,1248637403893583872,2020-04-10 15:42:10,Twitter for iPhone,86022,17562,1,1
RT @trish_regan: AG #Barr says he believes #Russia investigation into #PresTrump was started without basis &amp; effectively amounted to an eff…,144,1248632106135273473,2020-04-10 15:21:07,Twitter for iPhone,0,14446,1,1
RT @TomFitton: AG William Barr says Russia probe targeting @RealDonaldTrump was started 'without basis'. Where are the prosections? https:/…,140,1248632037839450113,2020-04-10 15:20:50,Twitter for iPhone,0,12175,0,0
RT @brithume: Barr on the right track here. Most in the media went in the other direction.  https://t.co/Wyd20ZABgF,115,1248631911456616448,2020-04-10 15:20:20,Twitter for iPhone,0,10654,0,1
The Invisible Enemy will soon be in full retreat!,49,1248630671754563585,2020-04-10 15:15:25,Twitter for iPhone,286708,55935,1,1
"Because the T.V. Ratings for the White House News Conference’s are the highest, the Opposition Party (Lamestream Me… https://t.co/aDU9l8UQnu",140,1248620923248205824,2020-04-10 14:36:41,Twitter for iPhone,83821,20404,1,0
