,Date,Close,Source,Tweet,First Date,Retweets,Favorites,SA
0,20170102 1849,2244.25,Twitter for Android,I thought and felt I would win big easily over the fabled 270 (306). When they cancelled fireworks they knew and so did I.,2017-01-02 18:44:04,13437,62670,1
1,20170103 1235,2243.25,Twitter for Android,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,2017-01-03 12:30:05,18864,73104,1
2,20170103 1251,2241.0,Twitter for Android,"People must remember that ObamaCare just doesn't work and it is not affordable - 116% increases (Arizona). Bill Clinton called it ""CRAZY""",2017-01-03 12:46:33,14481,58809,-1
3,20170103 1256,2242.75,Twitter for Android,"The Democrat Governor.of Minnesota said ""The Affordable Care Act (ObamaCare) is no longer affordable!"" - And it is lousy healthcare.",2017-01-03 12:51:15,12599,53372,-1
4,20170103 1508,2245.5,Twitter for Android,With all that Congress has to work on do they really have to make the weakening of the Independent Ethics Watchdog as unfair as it,2017-01-03 15:03:29,10851,43062,-1
5,20170103 1649,2252.25,Twitter for iPhone,@DanScavino: Ford to scrap Mexico plant invest in Michigan due to Trump policieshttps://t.co/137nUo03Gl,2017-01-03 16:44:13,15571,52850,-1
6,20170103 1849,2252.0,Twitter for iPhone,Trump is already delivering the jobs he promised America https://t.co/11spTMa6Tm,2017-01-03 18:44:47,14057,53127,0
7,20170104 0119,2255.0,Twitter for Android,"The ""Intelligence"" briefing on so-called ""Russian hacking"" was delayed until Friday perhaps more time needed to build a case. Very strange!",2017-01-04 01:14:52,23441,80009,1
8,20170104 1227,2263.25,Twitter for Android,"Julian Assange said ""a 14 year old could have hacked Podesta"" - why was DNC so careless? Also said Russians did not give him the info!",2017-01-04 12:22:38,18118,61018,-1
9,20170104 1315,2263.0,Twitter for Android,@FoxNews: Julian Assange on U.S. media coverage: “It’s very dishonest.” #Hannity https://t.co/ADcPRQifH9 More dishonest than anyone knows,2017-01-04 13:10:05,14810,42047,-1
10,20170104 1324,2262.75,Twitter for Android,Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow,2017-01-04 13:19:09,19529,86542,1
11,20170104 1332,2263.25,Twitter for Android,"Somebody hacked the DNC but why did they not have ""hacking defense"" like the RNC has and why have they not responded to the terrible......",2017-01-04 13:27:03,10260,42611,-1
12,20170104 1336,2263.25,Twitter for Android,things they did and said (like giving the questions to the debate to H). A total double standard! Media as usual gave them a pass.,2017-01-04 13:31:32,10731,46561,-1
13,20170104 1400,2263.0,Twitter for Android,Republicans must be careful in that the Dems own the failed ObamaCare disaster with its poor coverage and massive premium increases......,2017-01-04 13:55:53,11128,46212,-1
14,20170104 1406,2262.5,Twitter for Android,like the 116% hike in Arizona. Also deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web...,2017-01-04 14:01:53,11224,46485,-1
15,20170104 1431,2265.25,Twitter for Android,massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!,2017-01-04 14:26:45,13596,54146,1
16,20170105 1202,2256.25,Twitter for Android,The Democrats lead by head clown Chuck Schumer know how bad ObamaCare is and what a mess they are in. Instead of working to fix it they..,2017-01-05 11:57:57,13117,53297,-1
17,20170105 1206,2255.5,Twitter for Android,"...do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""Keep you doctor keep your plan!"" It is....",2017-01-05 12:01:33,12288,51725,-1
18,20170105 1211,2255.0,Twitter for Android,...time for Republicans &amp; Democrats to get together and come up with a healthcare plan that really works - much less expensive &amp; FAR BETTER!,2017-01-05 12:06:42,16580,78310,1
19,20170105 1330,2259.25,Twitter for Android,The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states it is for the people....,2017-01-05 13:25:30,16324,61944,-1
20,20170105 1350,2259.25,Twitter for Android,"to make up their own minds as to the truth. The media lies to make it look like I am against ""Intelligence"" when in fact I am a big fan!",2017-01-05 13:45:57,15333,67888,1
21,20170105 1819,2264.75,Twitter for Android,Toyota Motor said will build a new plant in Baja Mexico to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.,2017-01-05 18:14:30,32121,107842,1
22,20170106 0029,2263.0,Twitter for Android,"How did NBC get ""an exclusive look into the top secret report he (Obama) was presented?"" Who gave them this report and why? Politics!",2017-01-06 00:24:34,20594,68079,1
23,20170106 0035,2263.0,Twitter for Android,The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia......,2017-01-06 00:30:15,18774,57162,0
24,20170106 0045,2263.0,Twitter for Android,So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on?,2017-01-06 00:40:03,20758,71070,1
25,20170106 1124,2267.5,Twitter for Android,The dishonest media does not report that any money spent on building the Great Wall (for sake of speed) will be paid back by Mexico later!,2017-01-06 11:19:49,19129,65840,1
26,20170106 1144,2271.5,Twitter for Android,Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the......,2017-01-06 11:39:35,10555,51431,0
27,20170106 1150,2271.5,Twitter for Android,and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE,2017-01-06 11:45:47,8277,41623,-1
28,20170106 1210,2272.0,Twitter for Android,Hopefully all supporters and those who want to MAKE AMERICA GREAT AGAIN will go to D.C. on January 20th. It will be a GREAT SHOW!,2017-01-06 12:05:01,14381,66190,1
29,20170106 1239,2275.25,Twitter for Android,"Wow the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine DJT. So much for....",2017-01-06 12:34:37,9331,39031,1
30,20170106 1247,2275.25,Twitter for Android,being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares he supported Kasich &amp; Hillary,2017-01-06 12:42:53,8809,41032,0
31,20170106 1423,2275.5,Twitter for iPhone,Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp; Steven Newhouse a friend. Will go this AM.,2017-01-06 14:18:51,6471,34982,0
32,20170108 1901,2272.5,Twitter for Android,Before I or anyone saw the classified and/or highly confidential hacking intelligence report it was leaked out to @NBCNews. So serious!,2017-01-08 18:56:20,20653,74117,-1
