,SPX Ti,Date Tf,SPX Tf,Source,Tweet,Date Ti,Retweets,Favorites,SA,% Change SPX
0,2244.0,20170102 1849,2244.25,Twitter for Android,I thought and felt I would win big easily over the fabled 270 (306). When they cancelled fireworks they knew and so did I.,20170102 1844,13437,62670,1,0.011140819964349376
1,2242.75,20170103 1235,2243.25,Twitter for Android,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,20170103 1230,18864,73104,1,0.022294058633374206
2,2240.75,20170103 1251,2241.0,Twitter for Android,"People must remember that ObamaCare just doesn't work and it is not affordable - 116% increases (Arizona). Bill Clinton called it ""CRAZY""",20170103 1246,14481,58809,-1,0.011156978690170702
3,2241.0,20170103 1256,2242.75,Twitter for Android,"The Democrat Governor.of Minnesota said ""The Affordable Care Act (ObamaCare) is no longer affordable!"" - And it is lousy healthcare.",20170103 1251,12599,53372,-1,0.07809013833110219
4,2245.25,20170103 1508,2245.5,Twitter for Android,With all that Congress has to work on do they really have to make the weakening of the Independent Ethics Watchdog as unfair as it,20170103 1503,10851,43062,-1,0.011134617525887985
5,2263.5,20170104 1227,2263.25,Twitter for Android,"Julian Assange said ""a 14 year old could have hacked Podesta"" - why was DNC so careless? Also said Russians did not give him the info!",20170104 1222,18118,61018,-1,-0.01104484205875856
6,2262.75,20170104 1315,2263.0,Twitter for Android,@FoxNews: Julian Assange on U.S. media coverage: “It’s very dishonest.” #Hannity https://t.co/ADcPRQifH9 More dishonest than anyone knows,20170104 1310,14810,42047,-1,0.011048502927853277
7,2262.75,20170104 1406,2262.5,Twitter for Android,like the 116% hike in Arizona. Also deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web...,20170104 1401,11224,46485,-1,-0.011048502927853277
8,2264.5,20170104 1431,2265.25,Twitter for Android,massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!,20170104 1426,13596,54146,1,0.03311989401633915
9,2255.75,20170105 1202,2256.25,Twitter for Android,The Democrats lead by head clown Chuck Schumer know how bad ObamaCare is and what a mess they are in. Instead of working to fix it they..,20170105 1157,13117,53297,-1,0.02216557685913776
10,2256.25,20170105 1206,2255.5,Twitter for Android,"...do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""Keep you doctor keep your plan!"" It is....",20170105 1201,12288,51725,-1,-0.0332409972299169
